	Energy_(eV)	Formation Energy per Atom (eV)	Density_(g_cm-3)	KV_(GPa)	GV_(GPa)	KR_(GPa)	GR_(GPa)
Sb	0.0016537780403789200000	0.1720990911008860000000	0.2874934178071800000000	0.0026591950199587000000	0.0134924767995276000000	0.0035862499229026400000	0.0150468330129938000000
Te	0.8252582245201740000000	0.1163826512907320000000	0.0070711648311445900000	0.0006506767547267420000	0.5538879907610410000000	0.0019510083304644400000	0.0063649888333923200000
H	0.0000003342544409621290	0.9999989698197080000000	0.1590434269268470000000	0.0000004197694903045430	0.0000000565313020197956	0.0000001471946060213110	0.0105478674325367000000
C	0.0000003480498065460160	0.0019591069203624600000	0.1204923693133260000000	0.0050505744572663500000	0.0041556790380646200000	0.0019292340302300800000	0.0006200375691359260000
N	0.9999994980005590000000	0.0000000081997461640507	0.0540881745658889000000	0.0012107563217691600000	0.0065643158835775400000	0.0011874835069701700000	0.0000000236636011637897
P	0.0150338561504201000000	0.0104931256356746000000	0.0454003663479001000000	0.0006760746402893820000	0.1696184855224330000000	0.1277474815682270000000	0.9999992126737870000000
O	0.0053443679794752200000	0.0000146656816962146000	0.0013086757340405400000	0.0041143461981588200000	0.0577060526097678000000	0.0111241462919682000000	0.0100943323822968000000
S	0.9999989223392220000000	0.0000001532326980698890	0.0001489486829638440000	0.1189174085811170000000	0.9999997566727870000000	0.0000447795371163246000	0.9999984589362830000000
Se	0.9999991083670420000000	0.0000109433792169309000	0.0000015633783308882300	0.0266805882217572000000	0.0064711585807185900000	0.9999994556540100000000	0.0074204510748333100000
F	0.0005604658686657170000	0.0000194555968196136000	0.4475484422788320000000	0.0000132961903277477000	0.6301783007391810000000	0.0000000295929385764113	0.2921814471589980000000
Cl	0.0004620460467822060000	0.1041814992660540000000	0.0341839150074245000000	0.9999992234270050000000	0.9999995558643760000000	0.9999993734619100000000	0.9999993345802920000000
Br	0.0002918099574933280000	0.4514084504967850000000	0.3624659070991520000000	0.6566065559729800000000	0.6383209388864250000000	0.4516595382686790000000	0.1464745742873560000000
I	0.0002313784335833500000	0.0547017919214689000000	0.4962467899466330000000	0.1738547494729600000000	0.2308865710234060000000	0.0689715606616252000000	0.1960848843053170000000
